tokens,token_name
0x826180541412d574cf1336d22c0c0a287822678a,FLIP
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,LAI
0x0a2c375553e6965b42c135bb8b15a8914b08de0c,FROG
0x944824290cc12f31ae18ef51216a223ba4063092,MASA
0x16fefc0b30c17d546c11e3ae15818010acbedb30,FUKU
0x470c8950c0c3aa4b09654bc73b004615119a44b5,KIZUNA
0x49d1ec7c1170d28c9ac5a1f6fe1cd865bf07340d,PUTIN
0x5b7533812759b45c2b44c19e320ba2cd2681b542,AGIX
0x405919920765e8d30822db9342b62bb0f92976e8,QDFI
0x70ab15bc0c8fd8fc7b7e967702c9cf4925b1ddf7,Azizi
0xb1fc3be1d7d04d13d46fc51bc6bd2aacf9e3d7dc,BeDeFi
0x038480645079e61b2852c04e1465da01928a6a20,JOMA
0xb476a530d56d9d1dd9fe054acaa226823ec1d23a,REMIL
